Data	Iso Gantry	Iso Colimador	Iso Gantry e Colimador	Iso Mesa	G0C0T0	G90C0T0	G180C0T0	G0C270T0	G270C0T0	G0C90T0	G0C0T270	G0C0T90
2020-05-21	1.065	1.065	1.403	1.808	-0.258	-1.526	0.702	-0.529	0.956	-0.683	-1.491	-1.579
2020-05-22	2.440	2.440	2.440	1.729	-0.959	-0.553	-1.471	1.328	-0.542	0.766	-0.396	-0.892
2020-05-25	1.377	1.377	1.401	2.503	0.498	-1.010	1.202	0.573	0.638	0.351	-1.410	-1.716
2020-05-26	1.219	1.219	1.734	1.465	-0.351	-0.266	0.726	-0.893	-0.558	-0.821	-1.137	-1.425
2020-05-27	1.428	1.428	1.729	1.330	-0.500	-0.464	0.716	-0.878	-0.316	-0.851	-1.044	-1.498
2020-05-28	1.217	1.217	1.587	2.155	-0.322	-0.374	0.809	-0.499	0.558	-0.565	-0.931	-1.957
2020-05-29	1.353	1.353	1.779	1.187	-0.446	-0.299	0.780	-0.763	-0.567	-0.907	-0.795	-1.347
2020-06-01	1.200	1.200	1.373	1.605	-0.829	-0.379	0.365	-0.922	-0.862	-0.851	-1.229	-1.688
2020-06-02	1.152	1.152	1.516	1.334	-0.363	-0.502	0.647	-0.749	0.161	-0.643	-0.977	-1.483
2020-06-03	1.296	1.296	1.541	1.400	-0.331	-0.702	0.795	-0.679	0.246	-0.570	-0.895	-1.478
2020-06-04	1.195	1.195	1.508	0.931	-0.628	-0.694	0.788	-0.701	0.309	-0.603	-0.611	-1.011
2020-06-08	1.312	1.312	1.598	1.056	-0.896	-1.231	0.269	-1.203	0.563	-1.153	-1.363	-1.263
2020-06-09	1.157	1.157	1.516	2.445	-0.443	0.387	1.092	-0.447	0.780	-0.351	-1.141	-2.248
2020-06-10	1.228	1.228	1.300	1.324	-0.507	-1.024	0.585	-0.654	0.430	-0.544	-1.102	-1.455
2020-06-11	1.362	1.362	1.362	0.892	-1.263	-0.800	-0.109	-1.274	0.249	-1.276	-0.855	-0.789
2020-06-12	1.254	1.254	1.381	1.577	-0.527	-0.540	0.527	-0.747	0.214	-0.454	-1.397	-1.436
2020-06-15	1.311	1.311	1.321	1.110	-0.513	-0.543	0.630	-0.586	0.070	-0.543	-1.161	-1.253
2020-06-17	1.294	1.294	1.503	1.493	-0.528	-0.597	0.853	-0.637	0.418	-0.567	-1.120	-1.555
2020-06-19	1.394	1.394	1.520	1.583	-0.506	-0.634	0.633	-0.693	0.254	-0.666	-1.182	-1.605
2020-06-22	1.366	1.366	1.366	1.337	-0.801	-1.469	0.431	-0.702	0.756	-0.672	-1.377	-1.279
2020-06-23	1.334	1.334	1.421	1.124	-0.640	-0.280	0.539	-0.833	-0.336	-0.748	-1.129	-1.366
2020-06-24	1.123	1.123	1.456	1.006	-0.520	-0.518	0.560	-0.694	-0.129	-0.814	-0.978	-1.367
2020-06-25	1.217	1.217	1.417	1.325	-0.409	-0.520	0.701	-0.646	0.151	-0.588	-0.977	-1.286
2020-06-26	1.316	1.316	1.324	1.295	-0.626	-0.494	0.600	-0.653	0.121	-0.582	-0.783	-1.395
2020-06-30	1.431	1.431	1.431	1.316	-0.564	-0.943	0.577	-0.617	0.428	-0.612	-1.036	-1.469
2020-07-01	1.331	1.331	1.546	0.154	-0.691	-0.591	0.490	-1.007	0.116	-0.947	0.000	-0.637
2020-07-02	1.284	1.284	1.632	1.432	-0.436	-0.590	0.767	-0.688	0.173	-0.698	-0.920	-1.485
2020-07-03	1.182	1.182	1.661	1.054	-0.655	-0.594	0.520	-1.022	0.139	-1.117	-1.100	-1.211
2020-07-06	1.303	1.303	1.396	0.614	-0.744	-0.328	0.413	-0.743	-0.275	-0.855	-0.519	-0.720
2020-07-07	1.144	1.144	1.406	0.802	-0.517	-0.437	0.686	-0.662	0.390	-0.676	-0.162	-0.665
2020-07-08	1.048	1.048	1.202	0.971	-0.772	-0.402	0.343	-0.892	-0.358	-0.930	-0.555	-0.829
2020-07-10	1.077	1.077	1.648	0.611	-0.540	-0.202	0.526	-1.111	-0.104	-1.115	-0.532	-0.605
2020-07-16	1.121	1.121	1.349	0.640	-1.069	-0.588	0.062	-1.279	-0.235	-1.209	-0.723	-0.649
2020-07-17	1.072	1.072	1.255	1.141	-0.603	-0.250	0.455	-0.768	0.083	-0.783	-0.786	-0.905
2020-07-20	1.210	1.210	1.271	0.907	-0.604	-0.322	0.584	-0.617	0.090	-0.659	-0.854	-0.555
2020-07-21	1.075	1.075	1.570	2.926	-0.573	0.184	0.502	-0.975	-0.399	-0.959	-1.909	0.866
2020-07-22	1.150	1.150	1.440	1.093	-0.474	-0.669	0.640	-0.796	0.451	-0.738	-0.661	-0.919
2020-07-24	0.625	0.625	0.802	0.693	-0.711	-0.540	-0.603	-0.604	-0.573	-0.474	-0.536	-0.660
2020-07-28	1.132	1.132	1.631	0.999	-0.388	-1.164	0.737	-0.823	0.867	-0.892	-0.682	-0.910
2020-07-30	1.088	1.088	1.591	0.535	-0.707	-0.366	0.378	-0.965	-0.136	-1.196	-0.406	-0.684
2020-07-31	1.248	1.248	1.648	0.696	-0.766	-0.551	0.474	-1.053	0.423	-1.167	-0.673	-0.709
2020-08-01	1.094	1.094	1.641	0.906	-0.563	-0.532	0.524	-1.117	0.171	-1.064	-0.527	-1.063
2020-08-03	1.094	1.094	1.641	0.906	-0.563	-0.532	0.524	-1.117	0.171	-1.064	-0.527	-1.063
2020-08-04	1.163	1.163	1.528	0.956	-0.649	-0.473	0.509	-0.984	0.289	-0.996	-0.184	-0.809
2020-08-05	1.150	1.150	1.428	0.802	-0.757	-0.555	0.391	-1.011	0.211	-1.068	-0.458	-0.709
2020-08-06	1.193	1.193	1.520	1.043	-0.624	-0.385	0.568	-0.850	0.226	-0.936	-0.420	-0.831
2020-08-07	1.211	1.211	1.603	1.167	-0.713	-0.315	0.422	-0.937	-0.064	-1.066	-0.319	-1.002
2020-08-10	1.187	1.187	1.337	1.218	-0.401	-0.238	0.761	-0.563	0.317	-0.568	-0.474	-0.999
2020-08-11	1.143	1.143	1.829	0.964	-0.570	-0.159	0.640	-0.974	-0.226	-1.170	-0.612	-0.920
2020-08-12	1.180	1.180	1.753	1.506	-0.408	0.118	0.899	-0.731	0.174	-0.837	-0.384	-1.064
2020-08-13	1.166	1.166	1.612	1.229	-0.581	-0.272	0.578	-0.872	0.247	-1.033	-1.065	-0.944
2020-08-14	1.251	1.251	1.577	1.456	-0.465	0.187	0.787	-0.781	-0.200	-0.749	-0.583	-1.062
2020-08-17	1.253	1.253	1.825	1.516	-0.537	-0.605	1.062	-0.727	0.335	-0.754	0.314	-1.070
2020-08-18	1.138	1.138	1.624	1.091	-0.142	-0.586	0.981	-0.553	0.418	-0.628	-0.535	-0.970
2020-08-19	1.160	1.160	1.242	0.870	-0.491	-0.408	0.660	-0.418	0.303	-0.521	-0.419	-0.815
2020-08-20	1.126	1.126	1.371	1.174	-0.534	-0.318	0.585	-0.770	0.224	-0.770	-0.598	-0.917
2020-08-21	1.083	1.083	1.657	1.302	-0.757	-0.542	0.744	-0.844	0.291	-0.911	-0.445	-1.100
2020-08-24	1.091	1.091	1.367	1.555	-0.135	-0.709	1.061	-0.218	0.507	-0.316	-0.633	-1.170
2020-08-25	1.171	1.171	1.500	1.511	-0.525	-0.525	0.631	-0.805	0.385	-0.864	-1.091	-1.035
2020-08-26	1.197	1.197	1.605	0.711	-0.867	-0.691	0.291	-1.151	0.252	-1.283	-0.743	-0.720
2020-08-27	1.160	1.160	1.475	0.587	-0.819	-0.472	0.335	-1.137	0.199	-1.102	-0.766	-0.643
